l2_reg,ns,number_of_cycles,hidden_units,momentum,value
-3.0614097718462308,693.0,2.0,153.0,0.31856956510472634,0.49
-4.344415389795762,637.0,4.0,81.0,0.3734176089372392,0.533
-2.2436705119667164,1186.0,5.0,58.0,0.6642814417996186,0.53
-2.06817522119882,757.0,3.0,127.0,0.6527510626831681,0.517
-4.3482967623987605,485.0,3.0,88.0,0.6976473659793937,0.506
-1.4781019419586938,801.0,5.0,190.0,0.8748984642147271,0.466
-2.1832473632927285,523.0,5.0,63.0,0.5701822825913978,0.471
-4.556729290190376,597.0,5.0,65.0,0.3075586131080481,0.515
-3.257300323641542,865.0,2.0,94.0,0.8307058692770546,0.503
-1.1460925020533117,705.0,6.0,95.0,0.8634038073654007,0.42
-3.901933461078227,1095.0,5.0,186.0,0.7600071722681117,0.546
-3.4042287087915204,447.0,3.0,77.0,0.5531891552693995,0.482
-2.9592621285029637,922.0,3.0,96.0,0.6704445177523748,0.515
-1.1781759780731562,1042.0,2.0,133.0,0.7214116270072495,0.416
-4.75492194052042,789.0,3.0,117.0,0.691595370770408,0.499
-1.9264714853112541,636.0,2.0,190.0,0.694350791022242,0.499
-2.8143142927713023,492.0,3.0,100.0,0.5647958930950485,0.508
-2.304441727184122,573.0,3.0,119.0,0.39002580529409225,0.471
-3.4118716185594553,1030.0,6.0,98.0,0.7479592883921244,0.533
-2.4609731223040283,1051.0,3.0,181.0,0.27375043212230865,0.551
-5.0,1200.0,6.0,152.0,0.8997490430188377,0.534
-5.0,1200.0,4.0,173.0,0.206110130288903,0.529
-3.832717806216275,1200.0,5.0,196.0,0.41972671479287893,0.557
-3.818890891699068,1200.0,5.0,142.0,0.2405545864014477,0.502
-5.0,1200.0,3.0,190.0,0.6652264666938168,0.544
-5.0,1200.0,6.0,83.0,0.7608020691158268,0.54
-5.0,1200.0,4.0,158.0,0.894842254645474,0.54
-5.0,1200.0,3.0,60.0,0.4329124630692727,0.499
-5.0,400.0,5.0,200.0,0.6502561874118646,0.512
-3.718640330329956,1200.0,5.0,200.0,0.8317278927961271,0.569
-3.4834610300619397,1183.0,2.0,199.0,0.7172104231497984,0.525
-4.086023154861462,1196.0,2.0,199.0,0.887096341844724,0.53
-3.5802000035952934,1198.0,6.0,52.0,0.4765657787892533,0.517
-4.972781946687108,476.0,4.0,197.0,0.25468411446795663,0.463
-3.182075013775455,1200.0,5.0,77.0,0.3596912274932208,0.547
