n1,n2,k1,k2,batch_size,value
23.0,38.0,4.0,9.0,113.0,0.5158730158730159
40.0,19.0,8.0,6.0,68.0,0.4722222222222222
21.0,16.0,4.0,3.0,181.0,0.5277777777777778
24.0,17.0,7.0,9.0,202.0,0.5119047619047619
36.0,30.0,5.0,10.0,137.0,0.5476190476190477
11.0,11.0,2.0,9.0,286.0,0.4801587301587302
13.0,40.0,8.0,2.0,278.0,0.4523809523809524
16.0,38.0,2.0,2.0,158.0,0.5198412698412699
40.0,12.0,2.0,7.0,50.0,0.5277777777777778
39.0,33.0,2.0,10.0,50.0,0.5357142857142857
13.0,12.0,2.0,8.0,50.0,0.4880952380952381
40.0,37.0,2.0,3.0,204.0,0.5317460317460317
40.0,13.0,2.0,2.0,289.0,0.48412698412698413
39.0,16.0,10.0,7.0,50.0,0.4722222222222222
40.0,35.0,2.0,9.0,72.0,0.4880952380952381
10.0,38.0,10.0,10.0,96.0,0.4801587301587302
40.0,14.0,10.0,9.0,299.0,0.5
12.0,33.0,2.0,2.0,298.0,0.44047619047619047
40.0,19.0,10.0,8.0,93.0,0.49206349206349204
40.0,17.0,2.0,2.0,146.0,0.5158730158730159
